Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,0.01u,C3015138
C2,1206,1,0.01u,C3015138
C3,1206,1,0.1u,C5137467
C4,0805,1,1u,C2837735
C6,0805,1,0.1u,C5137467
"D1, D2, D3",1206,3,LED,C965799
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C5142856
"R1, R10, R2",1206,3,220,C2933642
"R3, R4, R6, R7, R9",1206,5,1k,C4410
R5,1206,1,1M,C352130
R8,Potentiometer_Vishay_248GJ-249GJ_Single_Vertical,1,0-1M,
SW1,SW_Tactile_Straight_KSL0Axx1LFTR,1,SW_Push,
SW2,SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2,1,SW_Push_SPDT,
"U1, U2, U6",DIP-8_W7.62mm_Socket_LongPads,3,~,C18164403
U3,DIP-14_W7.62mm_LongPads,1,74LS32,C521171
U4,DIP-14_W7.62mm_LongPads,1,74LS04,C513511
U5,DIP-14_W7.62mm_LongPads,1,74LS08,C521140
