Designator,Mid X,Mid Y,Rotation,Layer
C1,178.5,-90.75,270.0,top
C2,153.75,-95.5,180.0,top
C3,152.25,-98.0,180.0,top
C4,180.425,-101.895,180.0,top
C5,184.925,-101.915,0.0,top
C6,215.5,-121.25,270.0,top
D1,160.0,-87.5,90.0,top
D2,139.0,-88.25,270.0,top
D3,182.425,-116.645,0.0,top
J1,218.5,-120.7,180.0,bottom
R1,139.0,-82.75,270.0,top
R10,178.425,-117.145,90.0,top
R2,160.0,-92.75,90.0,top
R3,177.5,-94.25,180.0,top
R4,139.25,-96.75,0.0,top
R5,146.0,-96.75,0.0,top
R6,177.5,-97.0,180.0,top
R7,189.925,-105.895,90.0,top
R8,165.555,-112.965,180.0,top
R9,189.925,-111.395,90.0,top
SW1,145.66,-113.37,270.0,top
SW2,187.5775,-91.0,270.0,top
U1,146.0,-88.5,0.0,top
U2,167.8,-88.55,0.0,top
U3,205.625,-88.675,90.0,top
U4,210.575,-108.625,0.0,top
U5,198.825,-108.875,0.0,top
U6,182.475,-109.095,90.0,top
